Package,Built
abind,3.4.0
acepack,3.4.0
addinslist,3.4.0
ade4,3.4.3
AER,3.4.0
affxparser,3.4.0
affy,3.4.0
affyio,3.4.0
affyPLM,3.4.0
airway,3.4.2
amap,3.4.0
Amelia,3.4.0
animation,3.4.0
annotate,3.4.0
AnnotationDbi,3.4.1
AnnotationFilter,3.4.0
AnnotationHub,3.4.2
apcluster,3.4.2
ape,3.4.2
arm,3.4.0
aroma.light,3.4.0
arrayQualityMetrics,3.4.0
ash,3.4.0
assertthat,3.4.0
atus,3.4.1
babynames,3.4.0
backports,3.4.2
base64,3.4.0
base64enc,3.4.0
baySeq,3.4.0
bbmle,3.4.2
beadarray,3.4.0
BeadDataPackR,3.4.0
beanplot,3.4.0
beeswarm,3.4.0
bestglm,3.4.0
betareg,3.4.0
BH,3.4.1
BiasedUrn,3.4.0
bibtex,3.4.1
bindr,3.4.0
bindrcpp,3.4.0
Biobase,3.4.0
BiocGenerics,3.4.1
BiocInstaller,3.4.1
BiocParallel,3.4.0
BiocStyle,3.4.1
biomaRt,3.4.0
biomformat,3.4.0
Biostrings,3.4.1
biovizBase,3.4.0
BiSeq,3.4.0
bit,3.4.0
bit64,3.4.0
bitops,3.4.0
blob,3.4.0
blockmodeling,3.4.1
blockrand,3.4.0
blogdown,3.4.3
bookdown,3.4.1
BPSC,3.4.2
brew,3.4.0
broman,3.4.3
broom,3.4.2
BSgenome,3.4.1
bsseq,3.4.1
bsseqData,3.4.2
bumphunter,3.4.0
Cairo,3.4.0
calibrate,3.4.0
callr,3.4.0
car,3.4.3
caret,3.4.3
caTools,3.4.0
cba,3.4.0
cellranger,3.4.0
checkmate,3.4.2
chron,3.4.2
cli,3.4.2
clipr,3.4.2
clisymbols,3.4.0
cmprsk,3.4.0
cobs,3.4.0
coda,3.4.0
coin,3.4.3
colorspace,3.4.0
colourpicker,3.4.2
combinat,3.4.0
CombinePValue,3.4.0
commonmark,3.4.1
CompQuadForm,3.4.0
config,3.4.0
corrplot,3.4.2
countrycode,3.4.0
cowplot,3.4.2
crayon,3.4.1
crosstalk,3.4.0
curl,3.4.3
cvAUC,3.4.0
CVST,3.4.0
cvTools,3.4.0
data.table,3.4.2
DBI,3.4.0
dbplyr,3.4.3
ddalpha,3.4.2
DDRTree,3.4.0
debugme,3.4.2
DEDS,3.4.0
DelayedArray,3.4.0
dendextend,3.4.2
densityClust,3.4.2
DEoptimR,3.4.0
desc,3.4.1
DESeq,3.4.0
DESeq2,3.4.0
destiny,3.4.1
devtools,3.4.2
DiagrammeR,3.4.1
dichromat,3.4.0
digest,3.4.3
dimRed,3.4.0
diptest,3.4.0
discretization,3.4.0
distillery,3.4.1
docthis,3.4.2
doParallel,3.4.2
doRNG,3.4.0
dotCall64,3.4.3
downloader,3.4.0
dplyr,3.4.2
drc,3.4.0
DrImpute,3.4.1
DRR,3.4.0
DSIExplore,3.4.2
DSS,3.4.0
DT,3.4.0
dynamicTreeCut,3.4.0
e1071,3.4.0
earth,3.4.3
EBSeq,3.4.0
EDASeq,3.4.0
edgeR,3.4.0
ellipse,3.4.0
emrselect,3.4.2
enc,3.4.2
EnsDb.Mmusculus.v79,3.4.2
ensembldb,3.4.1
epiR,3.4.3
estimability,3.4.0
evaluate,3.4.1
exactRankTests,3.4.0
explainr,3.4.2
extrafont,3.4.0
extrafontdb,3.4.0
extRemes,3.4.0
ezknitr,3.4.0
faraway,3.4.0
fastcluster,3.4.1
fastICA,3.4.0
FDb.InfiniumMethylation.hg19,3.4.2
fdrtool,3.4.0
ff,3.4.0
fields,3.4.0
fit.models,3.4.0
fivethirtyeight,3.4.1
flexdashboard,3.4.3
