Package,LibPath,Version,Priority,Built
abind,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4-5,NA,3.4.0
acepack,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.1,NA,3.4.0
addinslist,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
ade4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7-10,NA,3.4.3
AER,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-5,NA,3.4.0
affxparser,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.48.0,NA,3.4.0
affy,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.54.0,NA,3.4.0
affyio,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.46.0,NA,3.4.0
affyPLM,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.52.1,NA,3.4.0
airway,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.110.0,NA,3.4.2
amap,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8-14,NA,3.4.0
Amelia,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.4,NA,3.4.0
animation,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.5,NA,3.4.0
annotate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.54.0,NA,3.4.0
AnnotationDbi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.38.2,NA,3.4.1
AnnotationFilter,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
AnnotationHub,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.8.3,NA,3.4.2
apcluster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.4,NA,3.4.2
ape,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,5.0,NA,3.4.2
arm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.9-3,NA,3.4.0
aroma.light,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.6.0,NA,3.4.0
arrayQualityMetrics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.32.0,NA,3.4.0
